1,211214,1566
2,28958,2033
3,26896,1825
4,424124,1250
5,24826,1720
6,38298,1540
7,14718,1860
8,11607,1960
9,55747,1480
10,11204,1960
11,16840,1940
12,22622,1500
13,13895,2100
14,21194,1460
15,6932,2020
16,32132,1460
17,17411,2060
18,18300,1680
19,8955,2240
20,29010,1866
21,4824,2075
22,24634,1640
23,8434,2080
24,8503,1880
25,82268,1680
26,32968,1820
27,26993,1720
28,5473,2120
29,14138,1720
30,6209,2060
31,14808,1760
32,52047,1460
33,9542,1880
34,64375,1320
35,14623,1600
36,4862,2000
37,21931,1920
38,24444,1737
39,12916,1827
40,4729,2060
41,104491,1460
42,4131,2060
43,52869,1540
44,17382,1810
45,11115,1890
46,14124,1714
47,22771,1680
48,10288,1975
49,16308,1620
50,169583,1740
51,4728,2033
52,13922,1566
53,12730,1600
54,3927,1980
55,9683,1940
56,14107,1660
57,5697,2060
58,105992,1700
59,122270,1520
60,7943,1980
61,92157,1560
62,4867,2080
63,16356,1540
64,2949,1877
65,4036,2140
66,25035,1580
67,4286,2120
68,7950,2060
69,122413,1580
70,6111,2100
71,261852,1620
72,3043,1700
73,4138,2150
74,6850,1960
75,33389,1700
76,5373,2116
77,5352,2080
78,20771,1720
79,11578,2020
80,37788,1000
81,11725,1920
82,30247,1880
83,8196,2140
84,13721,1300
85,5345,2040
86,12049,2240
87,7756,2040
88,6852,1350
89,2655,2360
90,8113,1050
91,9875,2080
92,18870,1050
93,3610,2240
94,12519,1100
95,6254,2060
96,123361,1100
97,1667,2400
98,1932,2320
99,7977,1050
100,2406,1670
101,6879,1940
102,21025,1100
103,15444,1900
104,12383,800
105,2914,2180
106,18218,1500
107,7797,2100
108,10119,1200
109,18155,1900
110,108388,950
111,9024,2120
112,155969,1000
113,5887,2240
114,14798,1250
115,30279,1920
116,109884,950
117,5958,2100
118,182722,1520
119,26267,1920
120,20182,1510
121,12378,1880
122,99531,1000
123,6058,2040
124,31226,1200
125,6423,1720
126,16429,2160
127,15562,950
128,8338,2100
129,27132,1050
130,3642,1590
131,85393,1483
132,5974,2000
133,85314,1050
134,4985,1766
135,10606,2060
136,84940,950
137,26256,1460
138,4409,2220
139,21682,1300
140,11965,2050
141,66582,1720
142,5576,2260
143,15292,1100
144,77390,1540
145,12438,2080
146,15625,1050
147,3772,1900
148,81367,1540
149,40891,1640
150,11466,2160
151,49534,1000
152,28598,1740
153,755,1940
154,9562,2180
155,61037,950
156,7975,2160
157,17849,900
158,249803,1300
159,13214,1420
160,102529,1680
161,17094,1940
162,2061,1780
163,5294,2300
164,2282,2460
165,47305,1680
166,37333,1740
167,4933,2320
168,10466,1300
169,8269,950
171,12841,1587
172,10025,1440
173,5769,2020
174,5049,1433
175,5181,2066
176,3970,2100
177,27114,1585
178,9384,1766
180,10997,1733
181,7765,1050
182,14980,1680
183,1953,2240
185,6996,2240
186,18011,1150
187,5699,2200
188,3051,1387
189,51336,1300
190,12956,1680
191,10300,2000
192,14264,1200
193,5008,2380
194,10934,1050
195,14234,1600
196,8363,2140
197,9445,1500
198,6965,2120
199,20260,1400
200,79365,1840
201,5742,2140
202,13690,1250
203,12913,1580
204,11450,2040
205,22563,1150
207,1756,1947
208,78812,1600
209,2759,2033
212,2519,2280
213,6169,2120
214,30055,1200
215,18410,1660
216,12888,1680
217,18639,2320
218,19849,1100
219,38110,1580
220,20304,2020
221,16417,1150
222,19966,1620
223,5343,2300
224,26385,1300
